PLAYER,TEAM,AGE,POSITION,GP,G,FREQ,DFGM,DFGA,DFG%,FG%,DIFF%
Pat Connaughton,MIL,29,G,65,65,45.80%,1.9,5.3,35.5,35.1,0.4
Cory Joseph,DET,30,G,65,59,34.30%,1.2,3.3,36,35.6,0.4
James Harden,PHI,32,G,65,64,37.70%,1.8,5.1,35.5,35,0.5
Darius Garland,CLE,22,G,68,67,38.90%,1.6,4.4,36.5,35.9,0.5
George Hill,MIL,35,G,54,53,41.20%,1.3,3.8,35.5,34.9,0.5
Raul Neto,WAS,29,G,68,65,34.90%,1.1,3.1,36,35.5,0.5
Killian Hayes,DET,20,G,66,63,39.40%,1.5,4,36.5,35.9,0.6
Russell Westbrook,LAL,33,G,78,77,38.20%,1.5,4.1,36.5,35.8,0.7
Trendon Watford,POR,21,F,48,44,35.00%,1.1,3.1,36.1,35.4,0.7
Giannis Antetokounmpo,MIL,27,F,67,65,36.20%,1.8,5,35.8,35,0.8
Lauri Markkanen,CLE,24,F-C,61,60,31.80%,1.6,4.3,36.9,36,0.8
Gary Harris,ORL,27,G,61,57,41.30%,1.4,3.8,37.1,36.3,0.8
Anthony Edwards,MIN,20,G,72,72,41.90%,2,5.4,36.6,35.7,0.9
Joel Embiid,PHI,28,C-F,68,63,20.40%,1.4,3.9,35.5,34.6,0.9
Pascal Siakam,TOR,28,F,68,68,37.90%,2.3,6.2,36.6,35.6,1
Cade Cunningham,DET,20,G,64,63,35.30%,1.9,5.1,37.2,36.2,1
Nikola Jokic,DEN,27,C,74,72,21.60%,1.7,4.6,36.1,35,1
Franz Wagner,ORL,20,F,77,76,37.10%,1.6,4.4,37,36,1
Stanley Johnson,LAL,25,F-G,48,46,28.10%,1.1,3,36.1,35.1,1
Khris Middleton,MIL,30,F,66,66,42.80%,2,5.4,36.7,35.6,1.1
Terry Rozier,CHA,28,G,72,71,37.60%,1.7,4.6,37.4,36.3,1.1
Jalen McDaniels,CHA,24,F-C,50,48,46.20%,1.5,4.2,36,34.9,1.1
Javonte Green,CHI,28,G-F,65,59,35.90%,1.2,3.1,37.5,36.4,1.1
Facundo Campazzo,DEN,31,G,58,54,43.50%,1.1,3,35.6,34.5,1.1
LaMelo Ball,CHA,20,G,74,73,41.30%,1.6,4.5,36.8,35.6,1.2
Nikola Vucevic,CHI,31,C,73,67,21.20%,1.5,4.3,36.1,34.9,1.2
Kelly Oubre Jr.,CHA,26,F-G,75,74,40.80%,1.5,4,37,35.8,1.2
Caris LeVert,CLE,27,G,58,57,39.50%,1.5,4.1,37.6,36.2,1.3
Jaden McDaniels,MIN,21,F,70,70,39.30%,1.6,4.4,37,35.6,1.4
Grant Williams,BOS,23,F,77,74,35.20%,1.5,4,36.7,35.3,1.4
Mike Conley,UTA,34,G,72,70,37.10%,1.4,3.7,36.9,35.4,1.5
Kessler Edwards,BKN,21,F,44,42,34.30%,1.3,3.6,36.1,34.6,1.5
Mitchell Robinson,NYK,24,C-F,72,67,31.30%,1.4,3.7,36.9,35.2,1.7
LaMarcus Aldridge,BKN,36,C-F,47,43,26.40%,1.2,3.2,36.9,35.2,1.7
Josh Hart,POR,27,G,54,54,41.70%,2.2,5.8,37.7,35.9,1.8
Jonas Valanciunas,NOP,29,C,74,71,23.80%,1.5,3.9,36.8,35,1.8
De'Aaron Fox,SAC,24,G,58,58,39.00%,2.1,5.5,37.3,35.4,1.9
Luka Doncic,DAL,23,F-G,65,64,35.00%,1.8,4.9,37.2,35.3,1.9
Herbert Jones,NOP,23,F,78,77,40.30%,1.8,4.8,37.4,35.5,1.9
Nic Claxton,BKN,23,F-C,47,44,38.60%,1.6,4.2,37.2,35.3,1.9
Bogdan Bogdanovic,ATL,29,G,63,62,38.30%,1.7,4.6,37.6,35.6,2
Cody Martin,CHA,26,F,70,68,41.50%,1.6,4.4,37.7,35.6,2.1
De'Andre Hunter,ATL,24,F-G,53,52,37.90%,1.8,4.7,37.8,35.7,2.2
Buddy Hield,IND,29,G,80,79,31.60%,1.6,4.1,38.1,35.8,2.3
Moritz Wagner,ORL,24,F-C,60,54,35.10%,1.1,3,37.6,35.3,2.3
Christian Wood,HOU,26,F,68,66,38.40%,2.4,6.3,37.9,35.3,2.6
Royce O'Neale,UTA,28,F,77,77,36.00%,1.7,4.6,37.9,35.3,2.6
Garrison Mathews,HOU,25,G,65,62,37.30%,1.5,3.8,38.1,35.4,2.6
Duncan Robinson,MIA,27,F,79,76,40.60%,1.4,3.7,38.5,35.9,2.6
Derrick White,BOS,27,G,75,72,32.20%,1.5,4.1,37.8,35.1,2.8
Gary Trent Jr.,TOR,23,G-F,70,67,41.50%,1.5,4,38.5,35.7,2.8
Kristaps Porzingis,WAS,26,F-C,51,50,29.70%,1.6,4.3,37.7,34.8,2.9
Cole Anthony,ORL,21,G,64,64,37.40%,1.7,4.4,39.1,35.9,3.2
Gordon Hayward,CHA,32,F,48,47,38.10%,1.4,3.7,38.9,35.6,3.2
Jerami Grant,DET,28,F,47,46,38.30%,1.4,3.6,39.2,36,3.2
Jrue Holiday,MIL,31,G,66,66,44.80%,2.5,6.4,39.4,36.1,3.3
Chimezie Metu,SAC,25,F-C,59,56,38.70%,1.4,3.7,38.1,34.6,3.4
Anfernee Simons,POR,22,G,57,55,41.20%,1.8,4.5,39.8,36.3,3.5
Jalen Green,HOU,20,G,67,66,36.60%,1.5,3.8,39.4,35.9,3.5
James Johnson,BKN,35,F,61,58,42.60%,1.4,3.5,39,35.4,3.5
Ben McLemore,POR,29,G,62,58,48.00%,1.2,3.2,39.5,36,3.5
Robert Covington,LAC,31,F,71,71,36.30%,1.7,4.3,39.3,35.6,3.6
R.J. Hampton,ORL,21,G,64,59,41.60%,1.3,3.3,39.8,36.1,3.7
Justin Holiday,SAC,33,F-G,74,72,36.90%,1.4,3.6,39.8,36,3.8
Avery Bradley,LAL,31,G,62,56,38.60%,1.2,3.1,39.8,36,3.8
John Collins,ATL,24,F-C,54,54,35.80%,2,5.1,39.1,35.2,3.9
Harrison Barnes,SAC,29,F,76,74,35.80%,1.6,4.2,39.2,35.3,3.9
Doug McDermott,SAS,30,F,51,51,38.30%,1.2,3.1,39.2,35.3,3.9
Hamidou Diallo,DET,23,G,58,55,39.40%,1.2,3,40.3,36.3,4
Kyle Lowry,MIA,36,G,63,62,42.50%,2,5.1,39.6,35.5,4.1
CJ McCollum,NOP,30,G,62,62,41.50%,2.2,5.5,39.9,35.5,4.4
Donte DiVincenzo,SAC,25,G,42,42,43.20%,1.6,4.1,40.4,35.9,4.4
Duane Washington Jr.,IND,22,G,46,44,41.10%,1.4,3.5,39.9,35.4,4.5
Bojan Bogdanovic,UTA,33,F,69,65,38.80%,1.5,3.8,39.8,35.1,4.7
Danny Green,PHI,34,G,62,59,35.10%,1.3,3.3,40.1,35.3,4.8
Evan Mobley,CLE,20,C,69,69,28.50%,2,4.9,40.8,35.8,5
Ivica Zubac,LAC,25,C,76,70,23.90%,1.6,3.8,40.7,35.2,5.5
Shai Gilgeous-Alexander,OKC,23,G,56,56,43.70%,2.6,6.2,41.7,35.5,6.3
Georges Niang,PHI,28,F,76,74,35.90%,1.4,3.4,41.4,35,6.4
Oshae Brissett,IND,23,F-G,67,62,32.50%,1.2,3,41.3,34.5,6.8
Damian Jones,SAC,26,C,53,46,29.70%,1.4,3.3,42.8,35.6,7.2
Zach LaVine,CHI,27,G-F,67,67,45.70%,2.3,5.3,43.8,35.9,7.9
